id,cpu,memoire,erreurs,type
0,14.26,65.3,2,normal
1,12.87,37.73,0,normal
2,49.85,34.74,2,normal
3,50.22,42.99,1,normal
4,41.7,37.88,2,normal
5,40.01,58.83,2,normal
6,12.23,38.2,2,normal
7,10.62,47.3,2,normal
8,38.95,33.96,0,normal
9,37.5,60.15,0,normal
10,35.46,55.82,2,normal
11,58.92,60.89,0,normal
12,55.66,30.26,1,normal
13,11.63,30.52,0,normal
14,33.4,51.87,0,normal
15,52.82,21.89,1,normal
16,11.9,30.52,2,normal
17,38.49,57.89,2,normal
18,45.29,37.6,2,normal
19,39.57,43.54,2,normal
20,10.21,21.5,2,normal
21,27.76,48.51,1,normal
22,19.58,38.64,0,normal
23,45.34,52.92,1,normal
24,37.2,52.19,0,normal
25,30.96,58.75,2,normal
26,52.63,45.97,0,normal
27,15.33,23.2,0,normal
28,45.63,61.5,2,normal
29,15.57,66.43,1,normal
30,29.45,33.36,1,normal
31,55.58,25.61,2,normal
32,45.35,57.78,0,normal
33,50.78,23.05,2,normal
34,54.63,42.42,2,normal
35,57.11,64.99,0,normal
36,12.97,35.62,0,normal
37,22.71,57.99,0,normal
38,39.45,50.44,1,normal
39,42.42,61.69,1,normal
40,53.33,25.59,0,normal
41,26.56,38.47,1,normal
42,28.09,56.91,1,normal
43,27.41,24.95,2,normal
44,54.66,51.33,2,normal
45,43.99,22.22,2,normal
46,34.96,49.45,2,normal
47,39.62,69.76,0,normal
48,19.01,35.24,2,normal
49,38.77,58.63,0,normal
50,18.59,34.81,1,normal
51,34.22,41.27,1,normal
52,48.47,51.34,1,normal
53,28.68,67.27,0,normal
54,30.79,64.41,2,normal
55,25.28,34.0,0,normal
56,17.09,26.33,0,normal
57,40.09,36.18,1,normal
58,26.43,40.13,1,normal
59,50.74,44.69,1,normal
60,45.54,65.57,0,normal
61,43.1,24.86,0,normal
62,13.05,54.72,0,normal
63,24.07,34.28,2,normal
64,56.33,68.81,2,normal
65,28.86,27.88,0,normal
66,48.47,63.51,2,normal
67,21.57,55.36,0,normal
68,22.83,25.57,2,normal
69,55.8,24.03,0,normal
70,21.9,42.91,0,normal
71,59.38,26.25,1,normal
72,50.88,27.12,0,normal
73,26.31,56.29,1,normal
74,23.78,64.01,0,normal
75,27.64,34.8,2,normal
76,19.87,30.98,0,normal
77,46.12,25.39,0,normal
78,33.24,68.35,1,normal
79,49.24,67.25,1,normal
80,15.45,55.4,1,normal
81,36.15,33.86,1,normal
82,11.41,69.6,2,normal
83,22.5,21.33,2,normal
84,15.79,56.13,1,normal
85,34.11,43.98,1,normal
86,32.22,33.7,2,normal
87,53.32,65.9,0,normal
88,31.34,45.69,0,normal
89,25.48,36.11,2,normal
90,28.28,28.35,0,normal
91,23.84,51.57,1,normal
92,41.46,49.08,0,normal
93,10.49,28.47,1,normal
94,35.4,66.2,2,normal
95,39.71,51.46,1,normal
96,40.2,20.36,1,normal
97,15.03,57.88,1,normal
98,24.45,20.9,1,normal
99,52.68,65.42,1,normal
100,12.36,30.76,1,normal
101,35.86,50.13,2,normal
102,10.88,23.35,0,normal
103,22.67,20.16,0,normal
104,44.51,45.36,0,normal
105,42.86,57.69,0,normal
106,23.42,68.58,0,normal
107,38.71,52.73,0,normal
108,59.82,31.01,0,normal
109,51.76,57.17,0,normal
110,19.96,46.68,2,normal
111,25.51,43.89,0,normal
112,53.22,49.6,0,normal
113,41.0,53.41,0,normal
114,10.29,21.2,0,normal
115,21.34,45.38,2,normal
116,41.74,64.21,0,normal
117,57.43,57.72,1,normal
118,49.72,60.45,0,normal
119,27.97,24.12,0,normal
120,15.0,33.86,2,normal
121,36.68,63.15,2,normal
122,26.07,50.82,1,normal
123,56.3,38.84,2,normal
124,56.21,53.1,1,normal
125,52.55,23.54,1,normal
126,14.56,66.02,0,normal
127,43.55,45.07,0,normal
128,42.04,52.27,1,normal
129,43.8,25.47,0,normal
130,50.67,67.61,2,normal
131,53.47,31.65,1,normal
132,17.26,35.29,1,normal
133,47.83,23.48,0,normal
134,35.53,35.79,2,normal
135,35.85,20.42,0,normal
136,53.19,67.0,2,normal
137,20.57,64.48,2,normal
138,42.35,37.81,0,normal
139,20.08,50.17,1,normal
140,22.79,39.56,0,normal
141,13.23,27.6,0,normal
142,52.28,40.36,0,normal
143,20.1,58.04,1,normal
144,36.58,39.76,1,normal
145,25.38,64.75,1,normal
146,19.98,44.5,2,normal
147,15.27,55.84,0,normal
148,27.66,45.01,0,normal
149,56.59,22.75,1,normal
150,23.9,67.42,0,normal
151,33.8,35.76,1,normal
152,16.49,50.56,2,normal
153,17.26,39.88,2,normal
154,44.7,31.31,1,normal
155,38.72,60.88,2,normal
156,44.72,35.83,0,normal
157,18.43,61.61,2,normal
158,40.59,21.72,2,normal
159,39.59,21.9,1,normal
160,45.39,29.79,1,normal
161,46.69,40.16,0,normal
162,15.09,36.23,0,normal
163,16.99,67.71,1,normal
164,11.74,63.15,1,normal
165,54.48,51.8,0,normal
166,18.55,32.18,2,normal
167,35.02,32.49,2,normal
168,10.7,51.25,2,normal
169,49.21,68.61,1,normal
170,46.61,26.99,0,normal
171,32.53,38.2,0,normal
172,33.33,21.5,2,normal
173,28.98,35.9,0,normal
174,36.29,57.9,1,normal
175,21.89,49.67,0,normal
176,22.9,59.7,0,normal
177,20.21,67.06,1,normal
178,29.13,23.73,1,normal
179,12.95,54.13,1,normal
180,12.9,31.32,2,normal
181,51.25,36.28,0,normal
182,14.51,32.1,0,normal
183,53.37,32.85,0,normal
184,51.73,35.9,0,normal
185,15.32,29.88,2,normal
186,26.67,48.07,2,normal
187,10.83,52.54,2,normal
188,38.87,24.32,1,normal
189,55.77,20.55,1,normal
190,21.42,27.1,2,normal
191,43.54,48.33,1,normal
192,36.49,36.09,0,normal
193,17.14,55.57,2,normal
194,10.15,25.43,0,normal
195,40.94,65.84,0,normal
196,34.36,69.98,2,normal
197,57.89,51.36,0,normal
198,20.52,53.52,0,normal
199,24.37,62.73,0,normal
200,26.73,65.39,0,normal
201,14.18,28.33,1,normal
202,47.57,54.03,1,normal
203,11.46,37.64,1,normal
204,58.92,41.53,0,normal
205,45.27,28.75,2,normal
206,57.18,46.21,0,normal
207,52.28,38.21,1,normal
208,29.03,52.2,0,normal
209,15.97,20.12,0,normal
210,41.2,25.58,1,normal
211,13.69,49.7,1,normal
212,44.54,26.85,1,normal
213,40.09,31.88,1,normal
214,13.98,20.24,2,normal
215,42.22,29.17,1,normal
216,59.71,32.87,2,normal
217,19.25,28.55,0,normal
218,30.83,55.31,1,normal
219,40.06,56.15,0,normal
220,33.2,60.46,0,normal
221,28.95,47.04,1,normal
222,49.12,39.39,1,normal
223,43.5,40.75,1,normal
224,51.69,36.33,2,normal
225,30.93,68.0,2,normal
226,18.35,30.43,2,normal
227,12.07,41.13,0,normal
228,42.16,65.17,0,normal
229,36.26,52.63,1,normal
230,26.15,41.01,1,normal
231,27.1,58.75,0,normal
232,50.25,37.73,1,normal
233,42.57,45.1,0,normal
234,15.97,58.28,0,normal
235,20.8,40.6,2,normal
236,59.42,35.77,1,normal
237,43.3,22.87,1,normal
238,59.33,50.16,1,normal
239,28.26,63.9,0,normal
240,26.3,67.66,0,normal
241,25.7,67.21,2,normal
242,56.97,67.57,2,normal
243,44.13,58.03,0,normal
244,11.77,28.12,0,normal
245,26.56,37.69,0,normal
246,26.43,30.05,0,normal
247,29.1,25.51,2,normal
248,31.66,28.73,0,normal
249,48.45,58.55,1,normal
250,19.11,45.83,1,normal
251,33.99,66.91,2,normal
252,27.75,29.54,2,normal
253,33.74,45.48,1,normal
254,17.14,25.97,2,normal
255,40.95,67.91,0,normal
256,49.27,53.33,0,normal
257,41.75,50.03,0,normal
258,17.86,24.43,0,normal
259,48.29,52.6,2,normal
260,40.09,30.09,1,normal
261,21.79,29.01,1,normal
262,16.44,57.31,0,normal
263,13.12,24.55,2,normal
264,50.74,27.55,2,normal
265,37.09,40.47,0,normal
266,32.47,27.89,1,normal
267,40.67,26.14,2,normal
268,42.4,40.36,2,normal
269,35.31,54.38,0,normal
270,31.27,33.46,0,normal
271,10.78,28.43,1,normal
272,27.32,39.27,0,normal
273,16.66,58.06,1,normal
274,52.12,50.61,0,normal
275,13.45,22.71,0,normal
276,54.98,47.41,0,normal
277,35.77,24.93,1,normal
278,35.25,29.24,1,normal
279,49.8,25.39,1,normal
280,15.59,55.01,2,normal
281,29.4,58.31,0,normal
282,37.58,49.57,1,normal
283,12.85,67.96,2,normal
284,17.17,53.55,2,normal
285,23.55,50.0,2,normal
286,29.29,48.29,2,normal
287,38.7,61.25,2,normal
288,27.42,44.57,0,normal
289,20.27,36.91,2,normal
290,18.53,50.8,1,normal
291,41.79,48.52,1,normal
292,21.25,51.28,2,normal
293,42.2,63.04,0,normal
294,46.36,34.38,0,normal
295,56.68,47.62,2,normal
296,14.78,53.56,1,normal
297,32.25,36.42,2,normal
298,30.26,69.24,0,normal
299,53.75,52.1,0,normal
300,46.98,35.8,0,normal
301,20.65,22.89,0,normal
302,11.52,68.75,0,normal
303,46.09,43.35,1,normal
304,17.74,34.53,2,normal
305,59.74,68.71,0,normal
306,21.05,50.75,2,normal
307,51.17,60.03,1,normal
308,55.32,50.0,1,normal
309,30.1,68.15,1,normal
310,25.52,37.29,1,normal
311,48.61,62.04,1,normal
312,28.41,25.26,2,normal
313,40.64,64.22,2,normal
314,48.73,40.7,0,normal
315,25.0,20.99,2,normal
316,22.23,48.98,2,normal
317,29.75,50.67,1,normal
318,29.17,69.07,0,normal
319,12.67,47.86,0,normal
320,58.81,41.25,0,normal
321,25.87,49.56,1,normal
322,18.35,64.6,2,normal
323,20.39,31.28,0,normal
324,14.25,55.85,2,normal
325,18.64,65.24,2,normal
326,22.61,59.3,2,normal
327,36.7,21.36,0,normal
328,52.19,69.83,0,normal
329,37.08,49.22,2,normal
330,22.39,68.71,1,normal
331,26.68,36.98,2,normal
332,26.23,27.31,2,normal
333,23.54,35.53,0,normal
334,21.87,60.98,0,normal
335,18.64,66.83,1,normal
336,31.11,31.9,0,normal
337,59.69,23.33,2,normal
338,17.14,56.31,0,normal
339,59.47,45.93,2,normal
340,41.55,63.69,1,normal
341,45.08,31.53,2,normal
342,31.94,31.34,0,normal
343,16.4,21.11,1,normal
344,50.17,64.91,2,normal
345,35.58,27.65,1,normal
346,49.41,34.1,1,normal
347,25.72,47.14,2,normal
348,49.7,25.52,2,normal
349,21.41,61.46,0,normal
350,43.16,58.78,0,normal
351,49.91,22.75,0,normal
352,19.39,30.58,1,normal
353,38.95,66.31,1,normal
354,57.71,62.44,2,normal
355,11.61,52.85,0,normal
356,44.1,27.05,1,normal
357,10.88,69.93,0,normal
358,39.44,38.73,2,normal
359,15.87,48.44,0,normal
360,57.99,52.12,2,normal
361,53.54,62.16,0,normal
362,16.94,69.55,0,normal
363,21.64,63.21,2,normal
364,26.97,39.68,1,normal
365,44.91,35.01,1,normal
366,55.12,43.57,0,normal
367,46.27,42.05,1,normal
368,15.93,48.53,2,normal
369,51.46,27.91,1,normal
370,45.27,27.03,2,normal
371,49.15,21.65,2,normal
372,58.33,59.14,0,normal
373,26.9,28.51,0,normal
374,46.66,38.96,2,normal
375,21.84,27.77,1,normal
376,39.22,21.87,0,normal
377,52.51,47.84,0,normal
378,15.48,25.56,0,normal
379,35.43,59.47,2,normal
380,33.37,28.35,1,normal
381,51.25,25.66,0,normal
382,18.0,68.53,2,normal
383,47.67,65.36,0,normal
384,40.42,63.92,1,normal
385,12.14,34.07,2,normal
386,17.11,27.87,1,normal
387,31.2,65.24,1,normal
388,56.63,28.9,1,normal
389,43.59,37.8,2,normal
390,57.79,38.92,1,normal
391,47.32,41.43,0,normal
392,28.56,36.12,1,normal
393,35.17,69.42,2,normal
394,29.79,37.54,2,normal
395,47.97,24.13,1,normal
396,29.3,52.96,0,normal
397,35.95,29.69,2,normal
398,27.25,56.57,2,normal
399,10.64,22.0,2,normal
400,51.38,44.75,1,normal
401,24.53,52.32,0,normal
402,17.62,67.3,0,normal
403,25.94,22.34,0,normal
404,29.35,67.79,2,normal
405,17.98,51.87,2,normal
406,38.89,59.6,0,normal
407,23.31,27.53,0,normal
408,38.5,54.65,1,normal
409,44.99,23.4,1,normal
410,23.2,64.11,1,normal
411,34.79,22.5,1,normal
412,28.31,61.91,1,normal
413,54.11,29.8,2,normal
414,40.17,49.46,2,normal
415,23.33,51.8,1,normal
416,17.59,46.05,1,normal
417,32.09,53.24,2,normal
418,21.47,25.94,1,normal
419,28.92,51.98,1,normal
420,37.46,36.49,0,normal
421,58.69,26.29,0,normal
422,41.31,35.87,1,normal
423,40.0,69.06,2,normal
424,12.27,24.35,1,normal
425,48.49,34.39,2,normal
426,33.65,26.26,2,normal
427,37.5,48.41,2,normal
428,31.87,65.18,0,normal
429,24.85,32.36,2,normal
430,25.54,21.78,0,normal
431,56.61,44.67,0,normal
432,15.14,23.08,1,normal
433,38.83,24.02,2,normal
434,42.34,33.84,2,normal
435,17.39,24.9,0,normal
436,13.81,32.67,2,normal
437,34.14,42.75,2,normal
438,33.98,30.17,1,normal
439,34.79,62.58,0,normal
440,32.67,57.0,0,normal
441,40.6,40.2,1,normal
442,24.9,64.0,0,normal
443,53.2,37.46,2,normal
444,30.46,51.42,1,normal
445,17.69,29.56,1,normal
446,29.06,27.57,0,normal
447,38.21,59.07,2,normal
448,36.64,25.21,1,normal
449,13.3,46.59,0,normal
